word,freq,frequency,rank,rfreq
shirt,352,27,1,3.59
socks,330,7,2,5.45
pants,318,9,3,3.89
shoes,274,44,4,5.35
blouse,261,1,5,4.17
skirt,261,21,6,4.08
coat,260,43,7,6.51
dress,240,67,8,3.22
hat,201,56,9,5.97
sweater,163,14,10,5
tie,136,23,11,6.23
slip,127,19,12,7.12
jacket,100,33,13,7.61
slacks,100,7,14,5.85
gloves,99,7,15,7.88
belt,84,29,16,7.22
underwear,72,3,17,6.79
shorts,71,29,18,6.65
bra,70,0,19,6.85
scarf,64,10,20,7.76
suit,53,48,21,6.41
t-shirt,48,0,22,6.81
stockings,46,5,23,7.83
trousers,41,7,24,4.79
undershirt,35,3,25,7.15
vest,29,4,26,8.23
nylons,26,0,27,7.77
girdle,25,2,28,8.92
underpants,22,0,29,7.28
overcoat,20,5,30,7.62
bermudas,16,0,31,6.25
hose,16,9,32,8
raincoat,15,0,33,8.4
panties,14,1,34,4
jumper,13,1,35,7.2
sweat shirt,12,2,36,6.4
bathing suit,10,0,37,7.89
cap,9,NA,38,NA
boots,8,NA,39,NA
pajamas,8,NA,40,NA
rings,8,NA,41,NA
robe,7,NA,42,NA
shift,7,NA,43,NA
earmuffs,6,NA,44,NA
jock,6,NA,45,NA
shell,5,NA,46,NA
watch,5,NA,47,NA
ascot,4,NA,48,NA
cuff links,4,NA,49,NA
dickey,4,NA,50,NA
handkerchief,4,NA,51,NA
swimsuit,4,NA,52,NA
levi's,3,NA,53,NA
sports coat,3,NA,54,NA
apron,2,NA,55,NA
bracelet,2,NA,56,NA
cape,2,NA,57,NA
chemise,2,NA,58,NA
culottes,2,NA,59,NA
garter,2,NA,60,NA
hairband,2,NA,61,NA
jeans,2,NA,62,NA
jersey,2,NA,63,NA
knee socks,2,NA,64,NA
muffler,2,NA,65,NA
necktie,2,NA,66,NA
nightgown,2,NA,67,NA
parka,2,NA,68,NA
purse,2,NA,69,NA
ribbon,2,NA,70,NA
suspenders,2,NA,71,NA
topcoat,2,NA,72,NA
tuxedo,2,NA,73,NA
underclothes,2,NA,74,NA
undershorts,2,NA,75,NA
