word,freq,frequency,rank,rfreq
oxygen,294,43,1,3.57
hydrogen,274,39,2,3.48
nitrogen,172,12,3,4.56
sodium,131,12,4,4.01
iron,126,43,5,4.32
gold,117,52,6,3.96
helium,113,15,7,4.77
silver,111,29,8,4.79
potassium,107,5,9,5.45
copper,103,13,10,4.43
carbon,103,30,11,4.13
sulfur,100,1,12,4.39
chlorine,96,33,13,4.63
zinc,81,10,14,4.75
magnesium,66,0,15,4.74
aluminum,60,18,16,4.64
fluorine,57,1,17,6.35
phosphorus,50,1,18,4.73
calcium,43,11,19,4.94
uranium,42,6,20,6.88
lead,41,129,21,5.26
argon,40,7,22,6.09
neon,39,14,23,4.7
mercury,35,10,24,6.76
boron,33,1,25,4.71
lithium,32,0,26,5.13
manganese,26,1,27,6.19
iodine,25,18,28,6.81
tin,25,12,29,6.38
acid,23,13,30,2.53
bromine,22,0,31,5.18
water,22,442,32,1.64
radium,20,0,33,6
krypton,19,0,34,6.58
cobalt,17,2,35,3.42
barium,16,1,36,4.8
nickel,16,7,37,5.67
platinum,16,4,38,4
beryllium,15,1,39,4.82
xenon,14,1,40,5.56
plutonium,11,0,41,4.9
radon,9,NA,42,NA
silicon,9,NA,43,NA
antimony,7,NA,44,NA
bromide,7,NA,45,NA
carbon dioxide,7,NA,46,NA
chromium,7,NA,47,NA
rubidium,7,NA,48,NA
titanium,7,NA,49,NA
arsenic,6,NA,50,NA
astatine,6,NA,51,NA
tungsten,6,NA,52,NA
cadmium,5,NA,53,NA
chloride,5,NA,54,NA
salt,5,NA,55,NA
alcohol,4,NA,56,NA
base,4,NA,57,NA
bismuth,4,NA,58,NA
cesium,4,NA,59,NA
francium,4,NA,60,NA
molybdenum,4,NA,61,NA
nitric acid,4,NA,62,NA
sodium chloride,4,NA,63,NA
sulfate,4,NA,64,NA
californium,3,NA,65,NA
gas,3,NA,66,NA
hydrochloric acid,3,NA,67,NA
tellurium,3,NA,68,NA
zinc oxide,3,NA,69,NA
zirconium,3,NA,70,NA
alkaline,2,NA,71,NA
ammonia,2,NA,72,NA
carbon monoxide,2,NA,73,NA
dioxide,2,NA,74,NA
ferric,2,NA,75,NA
freon,2,NA,76,NA
glycerin,2,NA,77,NA
hydrochloride,2,NA,78,NA
ion,2,NA,79,NA
lawrencium,2,NA,80,NA
nitrate,2,NA,81,NA
nitroglycerin,2,NA,82,NA
oil,2,NA,83,NA
peroxide,2,NA,84,NA
polonium,2,NA,85,NA
strontium,2,NA,86,NA
sulfuric acid,2,NA,87,NA
