word,freq,frequency,rank,rfreq
new york,361,301,1,2.57
chicago,270,98,2,4.25
los angeles,194,90,3,4.72
washington,179,206,4,2.81
san francisco,173,110,5,5.21
baltimore,165,22,6,2.45
london,84,89,7,4.87
paris,84,67,8,4.94
miami,79,22,9,5.68
boston,74,61,10,4.06
philadelphia,63,50,11,3.9
detroit,52,21,12,4.72
dallas,50,58,13,7.1
champaign,45,13,14,6
st. louis,45,75,15,5.44
new orleans,39,42,16,5.56
rome,36,70,17,6.19
urbana,33,1,18,5
cleveland,31,17,19,4.89
pittsburg,30,25,20,5.31
denver,28,16,21,4.77
houston,27,25,22,7.2
college park,23,0,23,3.74
yokyo,23,18,24,4.57
silver spring,22,0,25,3.68
springfield,22,3,26,4
moscow,21,47,27,6.11
atlanta,20,35,28,4.62
berlin,19,74,29,5.71
tampa,18,0,30,5.64
annapolis,17,7,31,4.35
las vegas,17,10,32,5.57
peoria,17,0,33,5
bethesda,15,0,34,4.33
seattle,15,7,35,4.13
reno,13,7,36,6.27
san diego,13,5,37,6.5
columbus,12,14,38,5.33
kansas city,12,31,39,5.91
minneapolis,12,9,40,3.89
decatur,11,1,41,5.5
madrid,11,1,42,5
milwaukee,11,9,43,4.67
richmond,11,12,44,5.8
rockville,11,1,45,3.8
fort lauderdale,10,6,46,6.33
memphis,10,8,47,5.2
buffalo,9,NA,48,NA
hong kong,9,NA,49,NA
jacksonville,9,NA,50,NA
charleston,8,NA,51,NA
indianapolis,8,NA,52,NA
newark,8,NA,53,NA
sacramento,8,NA,54,NA
buildings,7,NA,55,NA
cincinnati,7,NA,56,NA
des moines,7,NA,57,NA
wheaton,7,NA,58,NA
austin,6,NA,59,NA
baton rouge,6,NA,60,NA
harrisburg,6,NA,61,NA
honolulu,6,NA,62,NA
hyattsville,6,NA,63,NA
ocean city,6,NA,64,NA
orlando,6,NA,65,NA
salt lake city,6,NA,66,NA
st. petersburg,6,NA,67,NA
wilmington,6,NA,68,NA
albany,5,NA,69,NA
alexandria,5,NA,70,NA
bombay,5,NA,71,NA
cinti,5,NA,72,NA
copenhagen,5,NA,73,NA
hartford,5,NA,74,NA
madison,5,NA,75,NA
miami beach,5,NA,76,NA
naples,5,NA,77,NA
nashville,5,NA,78,NA
phoenix,5,NA,79,NA
tulsa,5,NA,80,NA
