word,freq,frequency,rank,rfreq
dog,426,75,1,1.77
cat,412,23,2,2.74
horse,348,117,3,3.4
cow,284,29,4,4.14
lion,225,17,5,6.26
tiger,203,17,6,6.89
elephant,182,7,7,6.5
pig,142,8,8,5.41
bear,129,57,9,5.68
mouse,118,10,10,5.51
rat,112,6,11,5.43
deer,95,13,12,6.22
sheep,85,23,13,5.82
giraffe,82,0,14,7.18
goat,76,6,15,6.71
zebra,70,1,16,7.05
squirrel,56,1,17,6.69
wolf,55,6,18,6.46
donkey,48,1,19,6.52
rabbit,48,11,20,5.19
leopard,46,1,21,8.2
mule,46,4,22,5.75
fox,44,13,23,6.11
bull,40,14,24,6.64
buffalo,34,1,25,7.36
moose,33,0,26,7.84
rhinoceros,31,3,27,7.64
camel,28,1,28,7.39
antelope,27,7,29,9.07
hippopotamus,26,0,30,7.5
lamb,26,7,31,6.38
monkey,23,9,32,6.25
raccoon,23,1,33,6.38
panther,21,1,34,7.64
llama,17,0,35,8.71
skunk,15,1,36,5.13
cheetah,14,1,37,7.13
jaguar,14,5,38,7.33
beaver,13,3,39,7
gazelle,12,1,40,8.17
turtle,12,2,41,6.42
elk,11,1,42,9.2
chipmunk,9,NA,43,NA
coyote,9,NA,44,NA
gnu,9,NA,45,NA
hamster,9,NA,46,NA
pony,9,NA,47,NA
anteater,8,NA,48,NA
opossum,8,NA,49,NA
puma,7,NA,50,NA
steer,7,NA,51,NA
hyena,6,NA,52,NA
ox,6,NA,53,NA
calf,5,NA,54,NA
lynx,5,NA,55,NA
rodent,5,NA,56,NA
alligator,4,NA,57,NA
ape,4,NA,58,NA
bison,4,NA,59,NA
cattle,4,NA,60,NA
dinosaur,4,NA,61,NA
groundhog,4,NA,62,NA
hog,4,NA,63,NA
lizard,4,NA,64,NA
man,4,NA,65,NA
mink,4,NA,66,NA
mountain lion,4,NA,67,NA
tapir,4,NA,68,NA
ass,3,NA,69,NA
baby,3,NA,70,NA
cougar,3,NA,71,NA
crocodile,3,NA,72,NA
frog,3,NA,73,NA
jackass,3,NA,74,NA
kangaroo,3,NA,75,NA
ocelot,3,NA,76,NA
otter,3,NA,77,NA
reindeer,3,NA,78,NA
weasel,3,NA,79,NA
aardvark,2,NA,80,NA
boar,2,NA,81,NA
bobcat,2,NA,82,NA
chimpanzee,2,NA,83,NA
gopher,2,NA,84,NA
gorilla,2,NA,85,NA
muskrat,2,NA,86,NA
platypus,2,NA,87,NA
porcupine,2,NA,88,NA
salamander,2,NA,89,NA
wild beast,2,NA,90,NA
