word,freq,frequency,rank,rfreq
apple,429,9,1,1.7
orange,390,23,2,3.55
pear,326,6,3,2.97
banana,283,4,4,4.38
peach,249,3,5,4.33
grape,247,3,6,5.28
cherry,183,6,7,5.41
plum,167,1,8,5.42
grapefruit,154,3,9,6.25
lemon,134,18,10,5.72
tangerine,110,0,11,6.17
apricot,102,1,12,6.42
pineapple,98,9,13,5.98
lime,69,13,14,6.81
tomato,63,4,15,5
strawberry,58,0,16,6.06
watermelon,47,1,17,6.34
prunes,44,1,18,7.33
cantalope,31,0,19,7.26
raspberry,28,1,20,6.69
pomegranate,23,0,21,5.5
blueberry,21,1,22,7.31
mango,18,0,23,5.42
avocado,17,11,24,5.6
fig,16,72,25,6.92
raisin,16,1,26,6.83
coconut,12,7,27,6.83
nectarine,12,0,28,9.17
berry,11,9,29,7
melon,11,1,30,4.5
kumquat,10,0,31,6.2
blackberry,9,NA,32,NA
date,9,NA,33,NA
papaya,8,NA,34,NA
honeydew,4,NA,35,NA
olive,3,NA,36,NA
parsimmon,3,NA,37,NA
nut,2,NA,38,NA
papaw,2,NA,39,NA
