word,freq,frequency,rank,rfreq
mary,233,18,1,3.68
sue,164,18,2,4.41
ann,160,29,3,3.96
jane,133,35,4,4.14
judy,128,8,5,5.25
carol,127,0,6,5.29
barbara,113,0,7,5.78
cathy,101,20,8,6.49
linda,100,4,9,5.39
joan,96,14,10,4.6
nancy,92,5,11,5.94
betty,77,3,12,4.45
jean,73,23,13,5.58
susan,73,36,14,5.48
karen,71,3,15,5.88
pat,67,35,16,4.57
joyce,61,21,17,6.02
diane,59,14,18,5.58
sally,55,13,19,5.72
sharon,52,3,20,5.7
alice,46,14,21,5.46
lynn,46,5,22,5.34
sandy,44,6,23,5.92
ellen,43,0,24,6.47
helen,40,13,25,6.54
ruth,39,23,26,6.63
margaret,36,10,27,6.04
janet,35,1,28,6.81
pam,32,8,29,4.94
caroline,30,2,30,6.5
gail,30,0,31,3.75
jill,29,0,32,5
june,29,93,33,5
joanne,27,1,34,6.78
marie,27,6,35,7.13
bonnie,26,1,36,6
debbie,25,0,37,6.94
donna,25,4,38,5.69
janice,25,6,39,5.09
louise,24,73,40,6.71
beth,23,5,41,7.78
elaine,22,22,42,6.46
martha,22,5,43,6.57
marcia,21,0,44,4.58
sara,21,4,45,8.09
sherry,20,8,46,7.15
elizabeth,19,15,47,7.88
marilyn,19,0,48,5.5
terry,19,7,49,6
barb,18,3,50,5.2
peggy,18,0,51,6.18
jackie,17,4,52,7.27
julie,17,10,53,7.58
rita,17,0,54,7.33
sandra,17,1,55,7.85
eileen,16,26,56,6.82
frances,16,2,57,7.83
virginia,16,75,58,0.1
beverly,15,14,59,6.83
cheryl,15,0,60,3.5
leslie,15,2,61,5.64
harriet,14,9,62,6
laura,14,20,63,6.75
phyllis,14,0,64,5.9
susie,14,5,65,6.33
cindy,13,0,66,6.67
betsy,12,2,67,6.13
chris,12,12,68,6.5
diana,12,7,69,7.17
lisa,12,4,70,5.57
lois,12,2,71,7
shirley,12,5,72,6.44
vicki,12,3,73,4.5
bobbie,11,22,74,6.44
fran,11,6,75,5.78
joy,11,40,76,3.17
kay,11,21,77,5.4
michele,11,0,78,4.86
paula,11,0,79,6.17
arlene,10,26,80,7.43
brenda,10,0,81,7.83
connie,10,1,82,6.83
doris,10,5,83,6.13
dorothy,10,3,84,8
gloria,10,1,85,7.25
irene,10,2,86,9.25
jan,10,24,87,7.6
liz,10,1,88,7.2
marge,10,0,89,5.75
margo,10,1,90,7.6
patricia,10,7,91,7.6
suzanne,10,0,92,6.56
gerry,9,NA,93,NA
ginny,9,NA,94,NA
jenny,9,NA,95,NA
jo,9,NA,96,NA
margie,9,NA,97,NA
patty,9,NA,98,NA
sheila,9,NA,99,NA
wendy,9,NA,100,NA
charlotte,8,NA,101,NA
christine,8,NA,102,NA
grace,8,NA,103,NA
lee,8,NA,104,NA
marian,8,NA,105,NA
molly,8,NA,106,NA
rose,8,NA,107,NA
theresa,8,NA,108,NA
dottie,7,NA,109,NA
georgia,7,NA,110,NA
gertrude,7,NA,111,NA
laurie,7,NA,112,NA
may,7,NA,113,NA
paulette,7,NA,114,NA
penny,7,NA,115,NA
sylvia,7,NA,116,NA
amy,6,NA,117,NA
annette,6,NA,118,NA
charlene,6,NA,119,NA
ethel,6,NA,120,NA
evelyn,6,NA,121,NA
florence,6,NA,122,NA
iris,6,NA,123,NA
julia,6,NA,124,NA
kim,6,NA,125,NA
lucy,6,NA,126,NA
rhonda,6,NA,127,NA
shelly,6,NA,128,NA
anna,5,NA,129,NA
april,5,NA,130,NA
candy,5,NA,131,NA
carla,5,NA,132,NA
catherine,5,NA,133,NA
claire,5,NA,134,NA
delores,5,NA,135,NA
lorraine,5,NA,136,NA
maria,5,NA,137,NA
marlene,5,NA,138,NA
mary ann,5,NA,139,NA
rebecca,5,NA,140,NA
robin,5,NA,141,NA
rosemary,5,NA,142,NA
tina,5,NA,143,NA
tony,5,NA,144,NA
andrea,4,NA,145,NA
anita,4,NA,146,NA
audrey,4,NA,147,NA
becky,4,NA,148,NA
dale,4,NA,149,NA
darlene,4,NA,150,NA
dawn,4,NA,151,NA
denise,4,NA,152,NA
ella,4,NA,153,NA
emily,4,NA,154,NA
esther,4,NA,155,NA
jeanette,4,NA,156,NA
