word,freq,frequency,rank,rfreq
cotton,404,4,1,2.21
wool,347,10,2,3.29
silk,292,12,3,2.91
rayon,225,1,4,3.87
nylon,210,0,5,4.39
dacron,153,6,6,4.6
linen,142,5,7,3.15
satin,78,0,8,3.36
orlon,74,0,9,5.12
madras,32,4,10,5.57
velvet,32,0,11,4.73
burlap,29,0,12,4.65
denim,29,1,13,5.06
corduroy,27,4,14,5.88
flannel,25,0,15,5.88
mohair,19,1,16,5.07
cheesecloth,18,7,17,5.07
acetate,17,2,18,5
terry cloth,16,2,19,2.47
broadcloth,15,0,20,4.1
muslin,15,1,21,3.13
jersey,14,25,22,6
tweed,14,5,23,4.88
brocade,13,3,24,5.38
seersucker,13,1,25,6.38
canvas,12,19,26,6
taffeta,12,2,27,6.2
acrilan,11,0,28,5.29
chiffon,11,0,29,5.2
crepe,11,1,30,5.71
felt,11,357,31,4.86
gaberdine,11,1,32,5.38
calico,10,2,33,3.67
lace,10,7,34,5.75
gingham,9,NA,35,NA
sailcloth,9,NA,36,NA
synthetics,9,NA,37,NA
arnel,8,NA,38,NA
knit,8,NA,39,NA
peau de soie,8,NA,40,NA
suede,7,NA,41,NA
tablecloth,7,NA,42,NA
cashmere,6,NA,43,NA
oxford,6,NA,44,NA
polyester,6,NA,45,NA
banlon,5,NA,46,NA
leather,5,NA,47,NA
organdy,5,NA,48,NA
percale,5,NA,49,NA
pique,5,NA,50,NA
polished cotton,5,NA,51,NA
shantung,5,NA,52,NA
sharkskin,5,NA,53,NA
wosted,5,NA,54,NA
dustcloth,4,NA,55,NA
flax,4,NA,56,NA
kodel,4,NA,57,NA
oilcloth,4,NA,58,NA
batiste,3,NA,59,NA
celanese,3,NA,60,NA
chamois,3,NA,61,NA
chintz,3,NA,62,NA
dishcloth,3,NA,63,NA
plaid,3,NA,64,NA
plastic,3,NA,65,NA
rag,3,NA,66,NA
serge,3,NA,67,NA
velveteen washclot,3,NA,68,NA
alpaca,2,NA,69,NA
antron,2,NA,70,NA
damask,2,NA,71,NA
fabric,2,NA,72,NA
fortrel,2,NA,73,NA
homespun,2,NA,74,NA
hopsacking,2,NA,75,NA
loin,2,NA,76,NA
organza,2,NA,77,NA
pelon,2,NA,78,NA
poplin,2,NA,79,NA
rough,2,NA,80,NA
sheer,2,NA,81,NA
sheet,2,NA,82,NA
soft,2,NA,83,NA
stay prest,2,NA,84,NA
surrah,2,NA,85,NA
towel,2,NA,86,NA
twill,2,NA,87,NA
whipped cream,2,NA,88,NA
yarn,2,NA,89,NA
