word,freq,frequency,rank,rfreq
dollars,331,97,1,2.75
nickels,273,1,2,3.51
dimes,261,3,3,3.96
quarters,259,28,4,4.43
pennies,234,5,5,3.47
francs,169,3,6,4.79
pesos,131,0,7,4.93
pounds,126,43,8,4.89
half dollar,120,0,9,6.01
coins,94,9,10,2
lira,82,0,11,5.7
yen,66,3,12,4.22
paper money,64,0,13,2.88
ruble,61,0,14,5.35
silver,61,29,15,4.97
mark,58,83,16,5.17
cents,57,25,17,2.9
shilling,46,0,18,5.21
check,45,88,19,5.08
gold,40,52,20,5.1
silver dollar,39,0,21,5.82
fifty-cent piece,34,0,22,5.74
dollar bill,32,0,23,3.46
ten dollars,26,0,24,6.75
five,25,286,25,6.39
centavo,20,0,26,4.45
pence,16,0,27,6.8
bill,14,143,28,2.75
currency,13,12,29,5.8
gold piece,13,0,30,6.2
bonds,12,47,31,6.5
twenty,12,80,32,7.78
guinea,11,3,33,5.9
six pence,10,0,34,5.5
sou,10,1,35,6.2
crown,9,NA,36,NA
fifty,9,NA,37,NA
copper,8,NA,38,NA
kopeck,8,NA,39,NA
hundred,8,NA,40,NA
change,7,NA,41,NA
peseta,7,NA,42,NA
pfennig,7,NA,43,NA
stocks,7,NA,44,NA
american,6,NA,45,NA
cash,6,NA,46,NA
doubloon,6,NA,47,NA
hard money,6,NA,48,NA
money order,6,NA,49,NA
rupee,6,NA,50,NA
greenback,5,NA,51,NA
note,5,NA,52,NA
sen,5,NA,53,NA
bolivar,4,NA,54,NA
canadian,4,NA,55,NA
foreign,4,NA,56,NA
half penny,4,NA,57,NA
mill,4,NA,58,NA
seashells,4,NA,59,NA
sterling,4,NA,60,NA
traveler's checks,4,NA,61,NA
wampum,4,NA,62,NA
beads,3,NA,63,NA
confederate,3,NA,64,NA
dinar,3,NA,65,NA
english,3,NA,66,NA
farthing,3,NA,67,NA
green,3,NA,68,NA
krona,3,NA,69,NA
mexican,3,NA,70,NA
paper dollar,3,NA,71,NA
savings bond,3,NA,72,NA
two-dollar bill,3,NA,73,NA
baht,2,NA,74,NA
buck,2,NA,75,NA
bullion,2,NA,76,NA
centime,2,NA,77,NA
counterfeit,2,NA,78,NA
cruzeiro,2,NA,79,NA
drachma,2,NA,80,NA
federal reserve no,2,NA,81,NA
fiver,2,NA,82,NA
guilder,2,NA,83,NA
half cent,2,NA,84,NA
ious,2,NA,85,NA
one thousand dolla,2,NA,86,NA
paper bill,2,NA,87,NA
play money,2,NA,88,NA
pound sterling,2,NA,89,NA
sawbuck,2,NA,90,NA
script,2,NA,91,NA
shekel,2,NA,92,NA
silver certificate,2,NA,93,NA
two bits,2,NA,94,NA
