word,freq,frequency,rank,rfreq
john,274,362,1,3.96
bob,217,40,2,4.25
bill,202,143,3,4.36
jim,199,36,4,5.06
tom,179,63,5,4.97
joe,122,55,6,5.72
dick,113,18,7,6.02
mike,108,91,8,6.5
george,107,129,9,5.78
jack,102,92,10,5.59
harry,91,35,11,6.12
steve,89,3,12,6.06
larry,82,9,13,7.13
frank,74,68,14,6.22
paul,70,38,15,6.68
sam,67,79,16,7.92
richard,64,71,17,6.38
dave,62,31,18,6.46
fred,59,27,19,7.29
mark,51,83,20,6.68
charles,50,96,21,8.11
jerry,50,15,22,6.61
ed,49,16,23,6.24
pete,49,23,24,7.61
rick,49,0,25,7.34
robert,48,83,26,6.1
don,45,23,27,8.69
david,43,51,28,6.78
bruce,40,4,29,6.89
gary,39,12,30,6.78
carl,38,41,31,5.67
henry,38,88,32,6.96
james,38,101,33,5.83
ron,37,4,34,4.86
ken,35,12,35,5.29
michael,30,11,36,5.45
al,28,24,37,7.4
chuck,27,14,38,5.85
jeff,27,3,39,6.74
ralph,27,0,40,6.78
terry,27,7,41,5.75
alan,25,5,42,5.94
dan,25,27,43,7.56
peter,25,36,44,8.42
ted,24,7,45,6.5
tony,24,11,46,6.42
ray,23,19,47,6.44
brian,22,5,48,5.17
tim,22,0,49,6.75
wayne,21,12,50,6.57
william,21,148,51,6.8
doug,20,1,52,6.69
phil,20,65,53,6
roger,20,15,54,6.6
harvey,19,18,55,7.06
howard,19,32,56,7.53
barry,18,0,57,5.64
andy,17,33,58,9.36
joseph,17,55,59,6.14
roy,17,37,60,8.09
edward,16,45,61,9
gene,16,9,62,7.5
lee,16,34,63,5
dennis,15,0,64,7.14
thomas,15,100,65,7.4
pat,14,35,66,7.78
dale,13,5,67,7.29
allen,12,20,68,7.17
arthur,12,51,69,7.33
greg,12,26,70,7.67
kevin,12,0,71,6.83
rich,12,74,72,6.5
vince,12,11,73,7.29
albert,11,29,74,7.9
earl,11,12,75,7.76
glenn,11,6,76,6.75
harold,11,32,77,8
jay,11,15,78,6.88
marty,11,14,79,6.8
stephen,11,18,80,6.29
walt,11,5,81,8.88
donald,10,20,82,5.8
hank,10,17,83,6
herman,10,10,84,6.33
luke,10,3,85,7.6
neil,10,3,86,8
nick,10,25,87,8.75
philip,10,21,88,6.5
russell,10,12,89,6.45
tod,10,0,90,5.2
warren,10,51,91,7.63
ben,9,NA,92,NA
chris,9,NA,93,NA
lenny,9,NA,94,NA
lou,9,NA,95,NA
alex,8,NA,96,NA
art,8,NA,97,NA
charlie,8,NA,98,NA
danny,8,NA,99,NA
denny,8,NA,100,NA
elmer,8,NA,101,NA
kenneth,8,NA,102,NA
matthew,8,NA,103,NA
max,8,NA,104,NA
ronald,8,NA,105,NA
skip,8,NA,106,NA
stan,8,NA,107,NA
stuart,8,NA,108,NA
craig,7,NA,109,NA
eric,7,NA,110,NA
keith,7,NA,111,NA
lloyd,7,NA,112,NA
louis,7,NA,113,NA
randy,7,NA,114,NA
russ,7,NA,115,NA
alfred,6,NA,116,NA
arnold,6,NA,117,NA
burt,6,NA,118,NA
