word,freq,frequency,rank,rfreq
iron,353,43,1,2.47
copper,309,13,2,3.56
steel,281,45,3,3.38
gold,270,52,4,3.68
aluminum,259,18,5,4.22
silver,253,29,6,4.22
tin,173,12,7,4.52
zinc,130,10,8,4.22
brass,97,19,9,4.67
lead,96,29,10,4.8
bronze,78,11,11,4.76
magnesium,75,0,12,5.02
platinum,75,4,13,5.34
nickel,68,6,14,4.72
sodium,41,4,15,4.85
mercury,30,2,16,5.75
potassium,30,2,17,4.86
manganese,24,7,18,5.88
uranium,24,12,19,5.62
tungsten,21,10,20,6.5
cobalt,18,5,21,6.92
titanium,18,0,22,6.75
chromium,14,4,23,5.5
ore,13,3,24,3.56
cadmium,11,2,25,5.13
lithium,10,0,26,4.5
alloy,6,NA,27,NA
calcium,6,NA,28,NA
rubidium,6,NA,29,NA
beryllium,5,NA,30,NA
barium,4,NA,31,NA
chrome,4,NA,32,NA
francium,4,NA,33,NA
good conduct,4,NA,34,NA
molybdenum,4,NA,35,NA
pewter,4,NA,36,NA
bismuth,3,NA,37,NA
boron,3,NA,38,NA
cesium,3,NA,39,NA
radium,3,NA,40,NA
sulfur,3,NA,41,NA
antimony,2,NA,42,NA
argon,2,NA,43,NA
carbon,2,NA,44,NA
car,2,NA,45,NA
medal of honor,2,NA,46,NA
palladium,2,NA,47,NA
phosphorus,2,NA,48,NA
plutonium,2,NA,49,NA
purple heart,2,NA,50,NA
solder,2,NA,51,NA
zirconium,2,NA,52,NA
