word,freq,frequency,rank,rfreq
piano,329,38,1,2.96
drum,322,11,2,4.49
trumpet,279,7,3,4.38
violin,271,11,4,4.54
clarinet,259,1,5,4.21
flute,246,1,6,4.52
guitar,231,19,7,4.08
saxophone,176,4,8,4.98
trombone,173,0,9,5.27
oboe,144,0,10,4.56
tuba,119,1,11,5.2
harp,105,1,12,6.17
cello,89,0,13,6.05
banjo,77,2,14,5.27
bass,76,16,15,5.73
organ,76,12,16,5.71
french horn,63,0,17,6.24
viola,59,11,18,6.03
horn,51,31,19,3.54
piccolo,45,0,20,7.3
cymbals,43,0,21,7.5
harmonica,43,0,22,6.8
bassoon,40,0,23,7.11
accordion,37,1,24,4.95
cornet,33,0,25,6
xylophone,28,0,26,7.3
fiddle,20,2,27,6.5
harpsichord,20,1,28,6.75
bass fiddle,18,0,29,7.23
bugle,17,2,30,5.08
baritone,16,5,31,7.43
ukulele,15,0,32,4.92
triangle,11,4,33,8.11
bells,10,8,34,6.86
tambourine,9,NA,35,NA
bongos,8,NA,36,NA
sousaphone,7,NA,37,NA
bass drum,6,NA,38,NA
mandolin,6,NA,39,NA
marimba,6,NA,40,NA
tympani,6,NA,41,NA
english horn,5,NA,42,NA
recorder,5,NA,43,NA
lute,4,NA,44,NA
zither,4,NA,45,NA
bass viol,3,NA,46,NA
bass viola,3,NA,47,NA
chimes,3,NA,48,NA
clavichord,3,NA,49,NA
string bass,3,NA,50,NA
vibes,3,NA,51,NA
autoharp,2,NA,52,NA
bass clarinet,2,NA,53,NA
bass violin,2,NA,54,NA
castanet,2,NA,55,NA
double bass,2,NA,56,NA
fife,2,NA,57,NA
jew's harp,2,NA,58,NA
kettledrum,2,NA,59,NA
slide trombone,2,NA,60,NA
