word,freq,frequency,rank,rfreq
mountain,401,33,1,2.02
hill,227,72,2,3.48
valley,227,73,3,3.54
river,147,165,4,3.97
rock,105,75,5,1.94
lake,98,54,6,4.08
canyon,81,12,7,4.41
cliff,77,11,8,4.03
ocean,77,34,9,5.23
cave,69,9,10,3.85
plain,68,48,11,4.43
volcano,65,2,12,3.79
plateau,64,3,13,4.22
gully,45,5,14,4.75
stream,44,51,15,4.48
sea,37,95,16,5.08
desert,36,21,17,4.76
crevice,30,2,18,3.47
island,24,167,19,4.85
cavern,23,1,20,4.45
glacier,23,1,21,4.83
stalagmite,22,0,22,3.73
ravine,20,1,23,4.9
ridge,18,18,24,4.13
stalactite,18,0,25,3.33
stone,17,58,26,4
crater,16,2,27,4.09
gorge,16,1,28,4.5
grand canyon,14,0,29,1.8
creek,12,14,30,5.25
sand,12,28,31,3.6
tree,12,59,32,4.25
fault,10,22,33,5.5
natural bridge,10,0,34,3.44
peninsula,9,NA,35,NA
pond,9,NA,36,NA
waterfall,9,NA,37,NA
continent,8,NA,38,NA
crevasse,8,NA,39,NA
delta,8,NA,40,NA
dirt,8,NA,41,NA
hole,8,NA,42,NA
grass,8,NA,43,NA
slope,8,NA,44,NA
bay,7,NA,45,NA
beach,7,NA,46,NA
geyser,7,NA,47,NA
soil,7,NA,48,NA
bluff,6,NA,49,NA
ditch,6,NA,50,NA
gulch,6,NA,51,NA
moraine,6,NA,52,NA
sand dune,6,NA,53,NA
boulder,5,NA,54,NA
butte,5,NA,55,NA
earthquake,5,NA,56,NA
fossil,5,NA,57,NA
land,5,NA,58,NA
mesa,5,NA,59,NA
mound,5,NA,60,NA
water,5,NA,61,NA
crest,4,NA,62,NA
esker,4,NA,63,NA
forest,4,NA,64,NA
mineral,4,NA,65,NA
peak,4,NA,66,NA
prairie,4,NA,67,NA
riverbed,4,NA,68,NA
bank,3,NA,69,NA
coal,3,NA,70,NA
drumlin,3,NA,71,NA
flowers,3,NA,72,NA
gulf,3,NA,73,NA
harbor,3,NA,74,NA
iceberg,3,NA,75,NA
limestone,3,NA,76,NA
pebbles,3,NA,77,NA
plant,3,NA,78,NA
spring,3,NA,79,NA
stream bed,3,NA,80,NA
arroyo,2,NA,81,NA
basin,2,NA,82,NA
brook,2,NA,83,NA
chasm,2,NA,84,NA
chemicals,2,NA,85,NA
clay,2,NA,86,NA
cove,2,NA,87,NA
cracks,2,NA,88,NA
crag,2,NA,89,NA
dale,2,NA,90,NA
dike,2,NA,91,NA
dune,2,NA,92,NA
dust,2,NA,93,NA
flatlands,2,NA,94,NA
glacier deposit,2,NA,95,NA
ground,2,NA,96,NA
guper,2,NA,97,NA
hollows,2,NA,98,NA
knoll,2,NA,99,NA
meadow,2,NA,100,NA
outcropping,2,NA,101,NA
pinnacle,2,NA,102,NA
pool,2,NA,103,NA
promontory,2,NA,104,NA
rise,2,NA,105,NA
rocky mountains,2,NA,106,NA
saddle,2,NA,107,NA
sandstone,2,NA,108,NA
sill,2,NA,109,NA
smoky mountains,2,NA,110,NA
steppes,2,NA,111,NA
swamp,2,NA,112,NA
