word,freq,frequency,rank,rfreq
legs,402,67,1,3.88
arms,398,121,2,2.76
head,308,424,3,3.69
eye,303,122,4,6.06
foot,295,70,5,6.15
nose,281,60,6,6.89
finger,279,40,7,7.22
ear,260,29,8,6.95
hand,228,431,9,5.52
toe,223,9,10,7.92
mouth,184,103,11,7.55
stomach,128,37,12,8.55
hair,125,148,13,8.95
neck,120,81,14,6.55
heart,118,173,15,6.59
knee,79,35,16,9.2
chest,77,53,17,8.03
liver,63,16,18,8.03
brain,61,45,19,6.46
lungs,54,20,20,8
tooth,53,20,21,9.56
elbow,49,10,22,9.28
shoulders,49,51,23,7.76
face,46,371,24,4.66
tongue,44,35,25,0
ankle,43,8,26,9.41
throat,40,51,27,7.52
back,37,967,28,9.11
trunk,35,8,29,6.09
nail,29,6,30,9.19
intestine,26,1,31,8.76
hip,26,10,32,9.74
lips,25,69,33,7.12
wrist,25,10,34,9.05
breast,22,11,35,4.82
kidney,22,6,36,8.63
pancreas,21,0,37,9.44
thighs,21,7,38,9.92
bone,20,33,39,8.64
muscles,19,31,40,8.15
waist,19,11,41,0
torso,18,7,42,7.93
abdomen,14,6,43,0
fingernail,14,2,44,0
thumb,13,10,45,7.71
chin,10,27,46,1.2
skin,10,47,47,9.9
gallbladder,9,NA,48,NA
penis,9,NA,49,NA
calves,8,NA,50,NA
nerves,8,NA,51,NA
blood,7,NA,52,NA
ribs,7,NA,53,NA
cheek,6,NA,54,NA
esophagus,6,NA,55,NA
organs,6,NA,56,NA
pelvis,6,NA,57,NA
shin,6,NA,58,NA
spleen,6,NA,59,NA
veins,6,NA,60,NA
arteries,5,NA,61,NA
eyebrow,5,NA,62,NA
bladder,4,NA,63,NA
genitals,4,NA,64,NA
knuckles,4,NA,65,NA
large intestine,4,NA,66,NA
skull,4,NA,67,NA
small intestine,4,NA,68,NA
spinal cord,4,NA,69,NA
thorax,4,NA,70,NA
belly,3,NA,71,NA
bicep,3,NA,72,NA
femur,3,NA,73,NA
glands,3,NA,74,NA
limbs,3,NA,75,NA
ovary,3,NA,76,NA
skeleton,3,NA,77,NA
testes,3,NA,78,NA
tibia,3,NA,79,NA
trachea,3,NA,80,NA
ulna,3,NA,81,NA
anus,2,NA,82,NA
appendix,2,NA,83,NA
blood vessels,2,NA,84,NA
body,2,NA,85,NA
clavicle,2,NA,86,NA
digits,2,NA,87,NA
fallopian tubes,2,NA,88,NA
forearm,2,NA,89,NA
gullet,2,NA,90,NA
humerus,2,NA,91,NA
ligaments,2,NA,92,NA
lymph gland,2,NA,93,NA
mind,2,NA,94,NA
navel,2,NA,95,NA
radius,2,NA,96,NA
rectum,2,NA,97,NA
scapula,2,NA,98,NA
scrotum,2,NA,99,NA
sex organs,2,NA,100,NA
toenail,2,NA,101,NA
tricep,2,NA,102,NA
vagina,2,NA,103,NA
