word,freq,frequency,rank,rfreq
new york,300,301,1,4.36
california,297,65,2,5.94
maryland,264,23,3,1.84
florida,225,20,4,6.12
illinois,186,40,5,5.62
texas,147,69,6,7.14
virginia,144,75,7,4.91
pennsylvania,133,45,8,4.64
maine,116,9,9,5.64
new jersey,114,26,10,5.46
ohio,109,38,11,5.81
indiana,98,13,12,5.8
wisconsin,86,19,13,5.25
alabama,85,20,14,6.66
washington,84,206,15,6.84
iowa,82,4,16,7.36
georgia,78,46,17,8.21
north carolina,77,25,18,6.84
oregon,75,11,19,7.49
massachusetts,73,50,20,6.22
south carolina,70,25,21,7.55
delaware,69,27,22,5.61
michigan,67,21,23,7.36
vermont,65,21,24,6.96
new mexico,64,19,25,6.49
new hampshire,63,11,26,5.88
mississippi,62,39,27,7.47
alaska,58,22,28,6.37
colorado,53,13,29,6.35
hawaii,50,16,30,6.63
louisiana,48,30,31,7.54
rhode island,48,0,32,6.49
kentucky,47,14,33,6.96
missouri,46,21,34,7.75
utah,46,6,35,6.11
west virginia,46,75,36,7.08
arizona,44,9,37,7.07
tennessee,43,23,38,8.75
north dakota,42,6,39,8.26
neveda,41,6,40,6.95
montana,40,2,41,7.39
connecticut,38,17,42,6.41
south dakota,38,6,43,9.04
arkansas,37,18,44,6.22
minnisota,33,13,45,6.08
wyoming,29,9,46,7.67
idaho,28,3,47,5.67
kansas,28,31,48,6.24
nebraska,28,6,49,7.21
oklahoma,25,14,50,8
confusion,4,NA,51,NA
happiness,2,NA,52,NA
new orleans,2,NA,53,NA
