word,freq,frequency,rank,rfreq
doll,285,10,1,2.88
ball,212,110,2,2.71
car,146,274,3,3.4
gun,125,118,4,3.78
truck,125,57,5,3.27
train,113,82,6,3.09
game,106,123,7,4.51
block,98,0,8,4.41
bat,84,18,9,4.1
top,60,204,10,3.03
boat,56,72,11,3.01
dollhouse,52,0,12,5.29
airplane,50,11,13,4.05
toy soldiers,50,0,14,4.15
wagon,45,55,15,3.65
stuffed animal,41,0,16,4.65
bike,40,0,17,3.72
jacks,40,0,18,4.18
puzzle,40,10,19,4.79
teddy bear,39,0,20,4
rattle,38,5,21,4.42
bicycle,37,0,22,6.28
jump rope,28,0,23,4.13
tricycle,25,0,24,3.3
balloon,18,10,25,2.55
rocking horse,18,0,26,4.25
yo-yo,18,0,27,2.91
marbles,16,3,28,4.55
rope,16,15,29,4.22
horse,15,117,30,4.89
skates,15,1,31,5.1
animals,14,58,32,4.57
books,13,96,33,5.63
dishes,13,21,34,6.29
drum,13,11,35,3.63
fire engine,13,0,36,3.78
football,13,36,37,4.44
cards,12,36,38,6.5
crayons,12,1,39,5.57
jack-in-the-box,12,0,40,3.17
monopoly,12,14,41,3.2
tractor,12,24,42,4.75
baseball,11,57,43,3.33
erector set,11,0,44,4.67
glove,10,9,45,5.88
swing,10,24,46,2.75
cap guns,9,NA,47,NA
scooter,9,NA,48,NA
dog,8,NA,49,NA
hammer,8,NA,50,NA
roller skates,8,NA,51,NA
ships,8,NA,52,NA
tinkertoys,8,NA,53,NA
checkers,7,NA,54,NA
baby carriage,7,NA,55,NA
clay,6,NA,56,NA
house,6,NA,57,NA
tank,6,NA,58,NA
basketball,5,NA,59,NA
chemistry set,5,NA,60,NA
coloring book,5,NA,61,NA
kite,5,NA,62,NA
knives,5,NA,63,NA
playhouse,5,NA,64,NA
puppet,5,NA,65,NA
robots,5,NA,66,NA
sled,5,NA,67,NA
whistle,5,NA,68,NA
bells,4,NA,69,NA
bow and arrow,4,NA,70,NA
clown,4,NA,71,NA
cutouts,4,NA,72,NA
hammer set,4,NA,73,NA
helmet,4,NA,74,NA
hula hoop,4,NA,75,NA
model,4,NA,76,NA
model plane kit,4,NA,77,NA
paper dolls,4,NA,78,NA
pick-up sticks,4,NA,79,NA
sandbox,4,NA,80,NA
slinky,4,NA,81,NA
squirt gun,4,NA,82,NA
stoves,4,NA,83,NA
water pistol,4,NA,84,NA
army men,3,NA,85,NA
baby doll,3,NA,86,NA
baseball glove,3,NA,87,NA
beads,3,NA,88,NA
bear,3,NA,89,NA
box,3,NA,90,NA
buggy,3,NA,91,NA
cat,3,NA,92,NA
cowboy,3,NA,93,NA
hats,3,NA,94,NA
music box,3,NA,95,NA
pogo stick,3,NA,96,NA
popgun,3,NA,97,NA
punching bag,3,NA,98,NA
rifle,3,NA,99,NA
telephone,3,NA,100,NA
blackboard,2,NA,101,NA
boots,2,NA,102,NA
bubbles,2,NA,103,NA
bucket,2,NA,104,NA
cannon,2,NA,105,NA
carriage,2,NA,106,NA
cart,2,NA,107,NA
chess,2,NA,108,NA
clock,2,NA,109,NA
doctor kit,2,NA,110,NA
doll kitchen,2,NA,111,NA
duck,2,NA,112,NA
electric train,2,NA,113,NA
engine,2,NA,114,NA
furniture,2,NA,115,NA
gun and holster,2,NA,116,NA
kitchen set,2,NA,117,NA
lincoln play logs,2,NA,118,NA
men,2,NA,119,NA
mister machine,2,NA,120,NA
model planes,2,NA,121,NA
monkey,2,NA,122,NA
paddle ball,2,NA,123,NA
paint set,2,NA,124,NA
parcheesi,2,NA,125,NA
pistol,2,NA,126,NA
plastic,2,NA,127,NA
plastic rings,2,NA,128,NA
pull toy,2,NA,129,NA
rocket,2,NA,130,NA
sailboat,2,NA,131,NA
sand basket,2,NA,132,NA
scrabble game,2,NA,133,NA
seesaw,2,NA,134,NA
shovel,2,NA,135,NA
silly putty,2,NA,136,NA
skate board,2,NA,137,NA
sliding board,2,NA,138,NA
softball,2,NA,139,NA
stilts,2,NA,140,NA
string,2,NA,141,NA
tools,2,NA,142,NA
water toys,2,NA,143,NA
