word,freq,frequency,rank,rfreq
house,396,591,1,1.27
apartment,316,81,2,3.4
tent,189,20,3,4.14
cave,155,9,4,4.05
hut,121,13,5,3.58
hotel,119,126,6,4.52
trailer,107,12,7,4.28
home,82,547,8,2.18
motel,81,24,9,5.52
shack,81,1,10,4.41
mansion,75,8,11,4.76
cottage,66,19,12,4.04
dormitory,63,2,13,4.93
igloo,63,0,14,4.03
cabin,55,23,15,4.54
ranch house,34,0,16,4.08
tepee,32,0,17,4
castle,30,7,18,4.05
houseboat,23,0,19,4.4
bungalow,22,1,20,4.21
room,22,383,21,4.88
building,21,160,22,4
lean-to,19,2,23,5.58
tree house,19,0,24,5.62
split-level,18,1,25,4.47
boat,16,72,26,4.5
duplex,16,1,27,5.57
adobe,14,2,28,3.5
farmhouse,12,8,29,5.09
log cabin,12,0,30,4.6
palace,12,38,31,5
abode,11,4,32,3
row house,11,0,33,5.45
penthouse,10,1,34,6.33
rambler,10,1,35,3.7
barracks,9,NA,36,NA
pueblo,9,NA,37,NA
slum,8,NA,38,NA
tree,8,NA,39,NA
tenement house,7,NA,40,NA
barn,6,NA,41,NA
flat,6,NA,42,NA
hovel,6,NA,43,NA
inn,6,NA,44,NA
lodge,6,NA,45,NA
town house,6,NA,46,NA
cape cod,5,NA,47,NA
estate,5,NA,48,NA
office,5,NA,49,NA
prison,5,NA,50,NA
sorority house,5,NA,51,NA
fort,4,NA,52,NA
fraternity house,4,NA,53,NA
pad,4,NA,54,NA
shanty,4,NA,55,NA
shelter,4,NA,56,NA
wigwam,4,NA,57,NA
beach home,3,NA,58,NA
boarding house,3,NA,59,NA
car,3,NA,60,NA
cliff,3,NA,61,NA
colonial,3,NA,62,NA
co-op,3,NA,63,NA
farm,3,NA,64,NA
garage,3,NA,65,NA
hacienda,3,NA,66,NA
hole,3,NA,67,NA
hospital,3,NA,68,NA
mud hut,3,NA,69,NA
ship,3,NA,70,NA
two-story,3,NA,71,NA
villa,3,NA,72,NA
apartment house,2,NA,73,NA
basement house,2,NA,74,NA
bilevel,2,NA,75,NA
box,2,NA,76,NA
camper,2,NA,77,NA
fallout shelter,2,NA,78,NA
frame house,2,NA,79,NA
grass hut,2,NA,80,NA
money,2,NA,81,NA
open air,2,NA,82,NA
quonset hut,2,NA,83,NA
residence hall,2,NA,84,NA
rooming house,2,NA,85,NA
sampan,2,NA,86,NA
skyscraper,2,NA,87,NA
stone house,2,NA,88,NA
train,2,NA,89,NA
