word,freq,frequency,rank,rfreq
sailboat,177,1,1,3.03
destroyer,157,2,2,2.91
battle,150,87,3,2.71
cruiser,140,4,4,3.22
submarine,122,27,5,3.8
ocean liner,116,0,6,3.51
rowboat,109,0,7,3.92
aircraft carrier,107,0,8,3.8
yacht,81,4,9,3.32
canoe,79,7,10,3.95
freighter,67,4,11,3.85
tugboat,67,0,12,4.59
steamship,55,3,13,2.92
p t boat,50,0,14,4.47
schooner,50,3,15,2.68
liner,42,4,16,4.15
motorboat,41,0,17,3.41
passenger,41,14,18,3.83
cargo,36,7,19,3.92
steamer,34,1,20,3.82
tanker,34,1,21,4.27
boat,33,72,22,1.39
clipper,33,1,23,2.36
barge,26,7,24,4.53
sloop,26,1,25,3.57
steamboat,26,3,26,1.67
carrier,24,9,27,5.43
speedboat,24,1,28,4.21
dinghy,21,1,29,3.88
cabin cruiser,20,0,30,3.94
fishing,19,32,31,4.69
steam liner,18,0,32,2.89
raft,15,4,33,5.7
runabout,14,1,34,3.44
warship,14,2,35,2.89
ferry,13,11,36,4.9
frigate,12,0,37,2.5
oil,12,93,38,4.8
luxury liner,11,0,39,3.38
outboard,10,7,40,4.4
transport,9,NA,41,NA
cutter,8,NA,42,NA
vessel,7,NA,43,NA
whaling,7,NA,44,NA
yawl,7,NA,45,NA
flatboat,6,NA,46,NA
inboard,6,NA,47,NA
skiff,6,NA,48,NA
landing ship tank,5,NA,49,NA
launch,5,NA,50,NA
sailing ship,5,NA,51,NA
banana boat,4,NA,52,NA
catamaran,4,NA,53,NA
junk,4,NA,54,NA
kayak,4,NA,55,NA
ketch,4,NA,56,NA
minesweeper,4,NA,57,NA
pleasure,4,NA,58,NA
scow,4,NA,59,NA
tender,4,NA,60,NA
airplane,3,NA,61,NA
brig,3,NA,62,NA
flag,3,NA,63,NA
galleon,3,NA,64,NA
gunboat,3,NA,65,NA
houseboat,3,NA,66,NA
icebreaker,3,NA,67,NA
merchant,3,NA,68,NA
naval,3,NA,69,NA
private,3,NA,70,NA
repair,3,NA,71,NA
rocket ship,3,NA,72,NA
torpedo boat,3,NA,73,NA
trawler,3,NA,74,NA
u-boat,3,NA,75,NA
water,3,NA,76,NA
air,2,NA,77,NA
atomic,2,NA,78,NA
bark,2,NA,79,NA
destroyer escort,2,NA,80,NA
diesel,2,NA,81,NA
dredge,2,NA,82,NA
fireboat,2,NA,83,NA
friend,2,NA,84,NA
ironsides,2,NA,85,NA
longship,2,NA,86,NA
man-of-war,2,NA,87,NA
navy,2,NA,88,NA
nuclear ship,2,NA,89,NA
outrigger,2,NA,90,NA
pleasure cruiser,2,NA,91,NA
pirate ship,2,NA,92,NA
queen mary,2,NA,93,NA
riverboat,2,NA,94,NA
sampan,2,NA,95,NA
ship,2,NA,96,NA
ship of state,2,NA,97,NA
spaceship,2,NA,98,NA
supply,2,NA,99,NA
tramp steamer,2,NA,100,NA
tub,2,NA,101,NA
u.s.s. constitutio,2,NA,102,NA
windjammer,2,NA,103,NA
